AccountID,Diposal_type,Age,sex,CARDTYPE,AVGSAL,UNEMPRATE,ENTREPENURNUMBER,TRANSSUM,LOANAMT,LOANSTATUS
9101,Owner,67,M,CLASSIC,10960,0.01,104,1052532,12458,3
1506,Owner,67,M,CLASSIC,10553,0.58,88,522725,12540,3
4284,Owner,42,M,CLASSIC,9349,0.57,102,275894,15897,4
10671,Owner,53,M,CLASSIC,9525,0.98,109,326598,16897,2
10041,Owner,50,M,CLASSIC,12455,1.18,115,669874,16986,1
859,Owner,73,M,CLASSIC,10958,0.07,109,578170,16987,4
8691,Owner,72,F,JUNIOR,11702,0.08,143,1425367,17589,2
5678,Owner,63,M,CLASSIC,8591,0.87,114,412568,17895,4
11317,Owner,65,M,CLASSIC,8959,1.41,161,912586,17986,2
4914,Owner,37,M,CLASSIC,9559,0.24,147,298749,18579,3
8126,Owner,43,M,CLASSIC,10819,0.25,159,1102761,18598,3
9495,Owner,51,F,JUNIOR,10012,-0.21,91,1332302,18742,4
9483,Owner,71,F,GOLD,8226,1.4,149,348851,18837,4
7894,Owner,68,F,CLASSIC,9606,0.49,119,802677,18999,4
936,Owner,74,M,CLASSIC,9768,0.96,83,1330065,19258,2
10708,Owner,44,F,CLASSIC,12541,0.61,107,898403,20147,3
8159,Owner,64,M,CLASSIC,10180,0.08,119,421587,21478,3
9073,Owner,61,M,CLASSIC,9019,1.5,133,321547,22154,1
4064,Owner,61,M,CLASSIC,10493,1.08,126,521497,22547,1
3794,Owner,48,M,CLASSIC,9443,0.8,149,589746,22589,3
8087,Owner,65,F,CLASSIC,8196,0.44,155,833337,22743,3
4390,Owner,37,M,CLASSIC,8994,0.54,100,758496,22987,1
4784,Owner,34,M,CLASSIC,10155,0.05,153,859674,23394,4
5372,Owner,53,M,CLASSIC,9903,0.09,158,645897,23548,3
7800,Owner,65,F,CLASSIC,8944,1.63,105,825936,23574,1
11335,Owner,75,M,CLASSIC,9852,0.11,154,345697,23999,4
6038,Owner,69,M,CLASSIC,9784,0.72,125,932433,24176,3
9112,Owner,38,M,CLASSIC,11327,0.67,119,1198480,24587,2
11071,Owner,47,M,CLASSIC,10781,1.79,103,556412,24589,3
5950,Owner,47,M,CLASSIC,10258,0.01,131,371361,24978,1
1120,Owner,45,M,CLASSIC,10444,0.05,124,714734,25231,4
2014,Owner,58,M,CLASSIC,12507,0.47,147,425136,25456,3
4516,Owner,60,M,CLASSIC,9378,0.05,85,1341304,25487,2
